poll_tijdstip,stop_id,stop_name,trip_id,route_short_name,bestemming,geplande_vertrektijd,voorspelde_vertrektijd,vertraging_sec
2026-07-26T22:41:16,2992021,Arnhem Zuid,260631233,Sprinter,Arnhem Centraal,22:45:00,22:45:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,313318579,Sprinter,Zutphen,00:15:00,00:15:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,313319146,Sprinter,Zutphen,23:15:00,23:15:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,348318811,Sprinter,Nijmegen,23:16:00,23:16:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,348323139,Sprinter,Nijmegen,23:46:00,23:46:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,348323806,Sprinter,Nijmegen,22:46:00,22:46:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,348323835,Sprinter,Arnhem Centraal,22:45:00,22:45:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366501780,Intercity,Zwolle,23:31:00,23:31:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366501943,Intercity,Zutphen,00:02:00,00:02:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366502468,Sprinter,Zutphen,23:15:00,23:15:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366502566,Intercity,Nijmegen,23:28:00,23:28:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366502606,Sprinter,Arnhem Centraal,22:58:00,22:58:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366502807,Sprinter,Arnhem Centraal,22:45:00,22:45:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366503053,Sprinter,Nijmegen,23:15:00,23:15:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366503263,Intercity,Elst,00:00:00,00:00:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366503579,Intercity,Elst,23:30:00,23:30:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366503894,Intercity,Zwolle,23:01:00,23:01:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366504096,Sprinter,Nijmegen,22:45:00,22:45:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366504201,Intercity,Zwolle,00:38:00,00:38:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366505039,Intercity,Nijmegen,22:58:00,22:58:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366505123,Sprinter,Zutphen,00:15:00,00:15:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366505221,Intercity,Zwolle,23:02:00,23:02:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366506116,Intercity,Nijmegen,00:12:00,00:12:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366506177,Intercity,Zwolle,23:32:00,23:32:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366506591,Sprinter,Nijmegen,23:45:00,23:45:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,366506755,Intercity,Elst,23:00:00,23:00:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,366507118,Intercity,Zutphen,00:01:00,00:01:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,368482188,Intercity,Arnhem Centraal,00:31:00,00:31:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,368483990,Sprinter,Zutphen,23:15:00,23:15:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,368484098,Sprinter,Nijmegen,23:46:00,23:46:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,369748997,Sprinter,Nijmegen,23:32:00,23:32:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,369750306,Sprinter,Dordrecht,22:59:00,22:59:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,369751009,Sprinter,Arnhem Centraal,23:29:00,23:29:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,369751065,Sprinter,Arnhem Centraal,23:00:00,23:00:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,369752356,Sprinter,Zutphen,23:14:00,23:14:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,369752455,Sprinter,Arnhem Centraal,00:29:00,00:29:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,369752729,Sprinter,'s-Hertogenbosch,00:02:00,00:02:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,369754249,Sprinter,Dordrecht,23:02:00,23:02:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,369754744,Sprinter,Nijmegen,00:32:00,00:32:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,369756684,Sprinter,Arnhem Centraal,22:44:00,22:44:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,369756760,Sprinter,Arnhem Centraal,23:59:00,23:59:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,372348353,Sprinter,Arnhem Centraal,23:29:00,23:29:00,0
2026-07-26T22:41:16,2992020,Arnhem Zuid,372353133,Sprinter,Dordrecht,23:06:00,23:06:00,0
2026-07-26T22:41:16,2992021,Arnhem Zuid,372353390,Sprinter,Arnhem Centraal,22:59:00,22:59:00,0
2026-07-26T22:41:16,3891301,"Arnhem, Station Arnhem Zuid",372726196,5,Presikhaaf,22:50:00,22:50:00,0
2026-07-26T22:41:16,3891301,"Arnhem, Station Arnhem Zuid",372726198,5,Presikhaaf,23:20:00,23:20:00,0
2026-07-26T22:41:16,3891302,"Arnhem, Station Arnhem Zuid",372726199,5,Schuytgraaf,22:37:00,22:37:00,0
2026-07-26T22:41:16,3891301,"Arnhem, Station Arnhem Zuid",372726200,5,Presikhaaf,23:50:00,23:50:00,0
